site_id,Lat,Lon,mean_ndbi
S49,5.68988,-0.00223,-0.037767563
S29,5.68331,-0.00355,-0.01688214
S59,5.67106,-0.0016,-0.019517727
S50,5.65752,-0.00638,0.004911625
S39,5.63797,-0.01269,-0.045381043
S40,5.64068,-0.01959,-0.012885205
S30,5.65267,-0.02114,-0.025047306
S24,5.65221,-0.01498,-0.027091764
NM,5.58177,-0.19872,0.007291962
AD,5.57078,-0.21422,0.006756554
JT,5.54096,-0.21011,0.018240316
LA,5.55482,-0.16111,-0.010591241
TF,5.66161,-0.25225,-0.03438167
UGH,5.65061,-0.19669,-0.09611467
N1W,5.60725,-0.24859,-0.009376851
TMW,5.65043,-0.10598,-0.045780674
EL,5.64077,-0.16914,-0.039588943
S88,5.60998,-0.20405,-0.040938675
S83,5.65917,-0.15925,-0.04419326
S27,5.68621,-0.16693,-0.042979106
S26,5.68495,-0.15988,-0.042837527
S147,5.69167,-0.16393,-0.07014749
S122,5.64533,-0.15649,-0.02764488
S93,5.64176,-0.16609,-0.016050069
S55,5.69395,-0.0245,-0.012986019
S22,5.69898,-0.02936,-0.010036062
S31,5.69525,-0.02986,-0.013049148
S25,5.69357,-0.03466,-0.01289345
S21,5.68858,-0.03779,-0.0035302453
S51,5.67755,-0.04686,-0.045093596
S121,5.72235,-0.04339,-0.032557104
S71,5.71674,-0.06067,-0.032220215
S44,5.72691,-0.06629,-0.023838919
S4,5.85427,-0.11434,-0.07179222
S73,5.8237,-0.13084,-0.052077603
S36,5.6647,-0.03626,-0.029530928
S69,5.66326,-0.01916,-0.029864352
S38,5.66033,-0.02402,-0.034213886
S61,5.67463,-0.03591,-0.0235846
S65,5.66632,-0.03774,-0.019117177
S53,5.66197,-0.06509,-0.030525062
S12,5.61971,-0.09308,-0.026063634
S42,5.62362,-0.06167,-0.022901734
S146,5.61794,-0.04538,-0.06768376
S52,5.63599,-0.13082,-0.023970094
S6,5.73669,-0.16935,-0.06598267
S56,5.70793,-0.15113,-0.05013937
